school,test optional?,number of applicants,accept rate
Eastern Michigan,Yes,14323,0.741
University of Washington--Bothell,Yes,4242,0.741
Adelphi University,Yes,13006,0.742
Baldwin Wallace University,Yes,3926,0.742
Michigan Technological University,Yes,5978,0.743
Drexel University,Yes,31824,0.747
University of Redlands,Yes,4713,0.75
Loyola University New Orleans,Yes,5857,0.75
California State University--Monterey Bay,Yes,12327,0.753
Whittier College,Yes,6220,0.759
Kalamazoo College,Yes,3576,0.76
Towson University,Yes,12678,0.763
Centre College,Yes,2212,0.764
University of Texas San Antonio,Yes,17122,0.7659999999999999
Ball State,Yes,23305,0.767
James Madison University,Yes,23578,0.768
Appalachian State University,Yes,16664,0.768
Indiana University—​Bloomington,Yes,44169,0.769
High Point University,Yes,10098,0.769
Virginia Commonwealth University,Yes,18622,0.7709999999999999
University of Arkansas—​Fayetteville,Yes,17913,0.7709999999999999
John Brown University,Yes,1094,0.7709999999999999
University of Idaho,Yes,8071,0.778
University of Missouri,Yes,18948,0.778
Willamette University,Yes,3972,0.779
University of Nebraska—​Lincoln,Yes,16829,0.782
Carroll College,Yes,2709,0.7829999999999999
College of Charleston,Yes,11783,0.7829999999999999
University of Colorado—​Boulder,Yes,40740,0.784
Elon University,Yes,10500,0.784
Seattle University,Yes,7968,0.785
University of Texas—​Dallas,Yes,14327,0.7859999999999999
East Carolina,Yes,19234,0.787
University of Tennessee,Yes,21764,0.7879999999999999
University of Texas Arlington,Yes,12335,0.795
Pacific Lutheran University,Yes,3740,0.7979999999999999
Western Michigan,Yes,17698,0.799
Loyola University Maryland,Yes,10077,0.802
Miami University—​Oxford,Yes,28920,0.804
Goucher College,Yes,3154,0.804
University of Oklahoma,Yes,15673,0.804
Auburn University,Yes,20205,0.807
University of Nevada—​Las Vegas,Yes,12720,0.807
Boise State,Yes,10788,0.8079999999999999
St. Mary's College of California,Yes,6069,0.81
Siena College,Yes,7728,0.8109999999999999
University of North Dakota,Yes,4964,0.8109999999999999
Texas State University,Yes,23583,0.8109999999999999
Colorado State University,Yes,28319,0.8140000000000001
University of Memphis,Yes,15381,0.8140000000000001
West Virginia University,Yes,18639,0.816
University of Oregon,Yes,27358,0.816
University of St. Thomas (MN),Yes,6819,0.8190000000000001
St. Mary's College (IN),Yes,1862,0.8190000000000001
Illinois State,Yes,16151,0.8190000000000001
Ohio University,Yes,24179,0.821
California State University--Sacramento,Yes,27576,0.823
University of North Carolina—​Greensboro,Yes,9972,0.8240000000000001
University of Iowa,Yes,25928,0.826
St. Michael's College,Yes,4040,0.826
University of Alaska Anchorage,Yes,3673,0.83
Marquette University,Yes,15078,0.83
College of St. Benedict,Yes,1931,0.8340000000000001
Oregon State University,Yes,15786,0.836
The Catholic University of America,Yes,6096,0.8370000000000001
University of Puget Sound,Yes,5182,0.838
University of New Hampshire,Yes,18040,0.84
Missouri University of Science & Technology,Yes,4333,0.8420000000000001
St. Mary's College of Maryland,Yes,1621,0.843
University of Arizona,Yes,40854,0.846
Susquehanna University,Yes,4863,0.848
Arizona State University—​Tempe,Yes,26869,0.848
Wheaton College (IL),Yes,1889,0.848
Northern Arizona,Yes,36855,0.85
Washington and Jefferson College,Yes,2722,0.852
Kent State,Yes,16308,0.855
Mills College,Yes,1003,0.855
Hope College,Yes,3748,0.857
Valparaiso University,Yes,5491,0.858
George Mason University,Yes,19554,0.867
Old Dominion,Yes,13335,0.87
Missouri State,Yes,7581,0.879
University of Wisconsin Milwaukee,Yes,8280,0.885
Transylvania University,Yes,1702,0.887
Weber State,Yes,6853,0.8909999999999999
University of Maine,Yes,13118,0.902
Humboldt State University,Yes,16335,0.909
Utah State,Yes,15276,0.91
Iowa State University,Yes,18246,0.9209999999999999
Washington College,Yes,2225,0.924
University of Montana,Yes,6182,0.9259999999999999
Samford University,Yes,3912,0.929
University of Kansas,Yes,15093,0.9309999999999999
University of Kentucky,Yes,19324,0.945
University of Toledo,Yes,10228,0.951
Kansas State University,Yes,8140,0.9570000000000001
Portland State,Yes,7821,0.961
Queens University of Charlotte,Yes,2319,0.9620000000000001
Western Kentucky,Yes,8245,0.973
United States Naval Academy,No,16332,0.083
United States Military Academy,No,11675,0.10300000000000001
United States Air Force Academy,No,10354,0.111
United States Coast Guard Academy,No,2274,0.128
United States Merchant Maritime Academy,No,1693,0.248
Howard University,No,20946,0.316
Florida State University,No,58936,0.36
Hillsdale College,No,2208,0.36
University of Central Florida,No,35240,0.382
University of Florida,No,38905,0.38799999999999996
University of South Florida,No,36986,0.47700000000000004
Gallaudet University,No,496,0.5710000000000001
Florida International,No,18492,0.575
Morehouse College,No,3554,0.579
University of Alabama,No,37302,0.591
Milwaukee School of Engineering,No,3552,0.617
Florida Institute of Technology,No,9743,0.657
Louisiana State University—​Baton Rouge,No,24501,0.746
The Citadel,No,2742,0.747
New College of Florida,No,1340,0.768
Thomas Aquinas College,No,211,0.777
University of Texas Rio Grande Valley,No,10680,0.7979999999999999
University of South Dakota,No,4434,0.8640000000000001
University of Mississippi,No,15371,0.8809999999999999
University of Wyoming,No,5348,0.96
University of Texas El Paso,No,7157,0.9990000000000001
